state,year,annual_median_wage,poverty_rate,median_household_income,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Ohio,2016,35760,0.1442,52334.0,3613.0,703,0.0009,0.0004,0.0464,0.0192
Oklahoma,2016,33140,0.1613,49176.0,444.0,687,0.001,0.0002,0.0641,0.0136
Oregon,2016,37990,0.1341,57532.0,312.0,814,0.0032,0.0001,0.0394,0.013
Pennsylvania,2016,36680,0.1281,56907.0,2235.0,784,0.0012,0.0004,0.0527,0.0172
Rhode Island,2016,39730,0.1274,60596.0,279.0,998,0.0011,0.0003,0.0514,0.0357
South Carolina,2016,32140,0.1519,49501.0,628.0,712,0.001,0.0002,0.0723,0.0126
South Dakota,2016,31590,0.1376,54467.0,42.0,673,0.0012,0.0001,0.0577,0.0159
Tennessee,2016,32800,0.157,48547.0,1186.0,673,0.0013,0.0002,0.0547,0.0159
Texas,2016,35480,0.1566,56565.0,1375.0,751,0.0008,0.0001,0.0437,0.0099
Utah,2016,35010,0.1038,65977.0,466.0,766,0.0009,0.0002,0.0365,0.0062
Vermont,2016,37920,0.1118,57677.0,101.0,987,0.0018,0.0002,0.1198,0.0201
Virginia,2016,39070,0.1109,68114.0,1130.0,921,0.0007,0.0002,0.0441,0.0123
Washington,2016,43400,0.1138,67106.0,709.0,881,0.0029,0.0002,0.0353,0.012
West Virginia,2016,30760,0.1828,43385.0,733.0,639,0.0008,0.0005,0.0899,0.0185
Wisconsin,2016,36250,0.1179,56811.0,866.0,735,0.001,0.0002,0.0591,0.0133
Wyoming,2016,38710,0.1174,59882.0,50.0,774,0.0015,0.0002,0.0805,0.0099
Alabama,2017,32800,0.168,48123.0,422.0,692,0.0008,0.0002,0.0855,0.0188
Alaska,2017,47560,0.117,73181.0,102.0,1201,0.0025,0.0002,0.0895,0.0104
Arizona,2017,36270,0.147,56581.0,928.0,808,0.0013,0.0002,0.0633,0.0058
Arkansas,2017,30810,0.162,45869.0,188.0,651,0.0008,0.0001,0.0723,0.0172
California,2017,40980,0.132,71805.0,2199.0,1242,0.0033,0.0001,0.0298,0.0123
Colorado,2017,40880,0.103,69117.0,578.0,905,0.0019,0.0002,0.0439,0.0109
Connecticut,2017,45870,0.094,74168.0,955.0,1209,0.0009,0.0003,0.045,0.023
Delaware,2017,38850,0.129,62852.0,250.0,1054,0.001,0.0004,0.0783,0.0134
Florida,2017,33420,0.14,52594.0,3245.0,876,0.0015,0.0002,0.0836,0.0092
Georgia,2017,35040,0.152,56183.0,1014.0,722,0.001,0.0001,0.0516,0.013
Hawaii,2017,41650,0.106,77765.0,53.0,1393,0.0051,0.0001,0.0596,0.0159
Idaho,2017,33250,0.132,52225.0,103.0,724,0.0012,0.0001,0.0563,0.0072
Illinois,2017,38870,0.127,62992.0,2202.0,752,0.0008,0.0002,0.0431,0.0176
Indiana,2017,34590,0.135,54181.0,1176.0,733,0.0008,0.0003,0.0493,0.0134
Iowa,2017,35930,0.102,58570.0,206.0,680,0.0009,0.0001,0.0446,0.0129
Kansas,2017,35150,0.12,56422.0,144.0,722,0.0008,0.0001,0.0498,0.0119
Kentucky,2017,33790,0.174,48375.0,1160.0,671,0.0009,0.0004,0.0582,0.019
Louisiana,2017,32490,0.2,46145.0,415.0,738,0.0007,0.0002,0.0695,0.0202
Maine,2017,36210,0.114,56277.0,360.0,793,0.0017,0.0003,0.1511,0.0199
Maryland,2017,43840,0.094,80776.0,1985.0,1249,0.0012,0.0004,0.0401,0.0166
Massachusetts,2017,47440,0.104,77385.0,1913.0,1260,0.0026,0.0003,0.0422,0.0284
Michigan,2017,36650,0.142,54909.0,2033.0,739,0.0009,0.0003,0.0667,0.0146
Minnesota,2017,41260,0.098,68388.0,422.0,769,0.0014,0.0001,0.0495,0.0161
Mississippi,2017,30070,0.197,43529.0,185.0,723,0.0005,0.0001,0.0776,0.0184
Missouri,2017,35050,0.133,53578.0,952.0,696,0.001,0.0002,0.0667,0.015
Montana,2017,33840,0.126,53386.0,38.0,714,0.0015,0.0001,0.083,0.013
Nebraska,2017,36130,0.107,59970.0,59.0,674,0.0013,0.0001,0.0433,0.0145
Nevada,2017,34930,0.131,58003.0,412.0,814,0.0026,0.0002,0.0522,0.0078
New Hampshire,2017,38900,0.075,73381.0,424.0,1029,0.0011,0.0003,0.0786,0.0158
New Jersey,2017,42500,0.097,80088.0,1969.0,1363,0.001,0.0003,0.0447,0.0186
New Mexico,2017,33450,0.196,46744.0,332.0,739,0.0012,0.0002,0.0814,0.0123
New York,2017,43690,0.14,64894.0,3224.0,994,0.0046,0.0002,0.0522,0.0307
North Carolina,2017,34750,0.149,52752.0,1953.0,742,0.0009,0.0002,0.065,0.0119
North Dakota,2017,40040,0.098,61843.0,35.0,781,0.0014,0.0001,0.0772,0.0176
Ohio,2017,36500,0.139,54021.0,4293.0,733,0.0009,0.0004,0.0458,0.0193
Oklahoma,2017,33630,0.154,50051.0,388.0,710,0.0011,0.0002,0.0671,0.0136
Oregon,2017,38840,0.132,60212.0,344.0,830,0.0034,0.0001,0.0398,0.0126
Pennsylvania,2017,37540,0.125,59195.0,2548.0,827,0.0011,0.0004,0.0536,0.0172
Rhode Island,2017,40450,0.117,63870.0,277.0,1022,0.0011,0.0003,0.0564,0.036
South Carolina,2017,32780,0.154,50570.0,749.0,763,0.0008,0.0002,0.0756,0.0124
South Dakota,2017,32340,0.122,56521.0,35.0,678,0.0011,0.0001,0.0554,0.0158
Tennessee,2017,33860,0.15,51340.0,1269.0,692,0.0012,0.0003,0.0552,0.0156
Texas,2017,36170,0.146,59206.0,1458.0,791,0.0008,0.0001,0.0463,0.0098
Utah,2017,35650,0.096,68358.0,456.0,772,0.0009,0.0002,0.0352,0.006
Vermont,2017,38640,0.111,57513.0,114.0,1026,0.002,0.0002,0.1259,0.0203
Virginia,2017,39800,0.105,71535.0,1241.0,941,0.0007,0.0002,0.0463,0.0121
Washington,2017,44440,0.112,70979.0,742.0,894,0.0028,0.0002,0.0354,0.0119
West Virginia,2017,31540,0.191,43469.0,833.0,726,0.0007,0.0005,0.0974,0.0191
Wisconsin,2017,37040,0.109,59305.0,926.0,744,0.0009,0.0002,0.0596,0.0133
Wyoming,2017,39120,0.118,60434.0,47.0,768,0.0015,0.0001,0.088,0.01
Alabama,2018,33740,0.1679,49861.0,381.0,682,0.0007,0.0002,,0.0187
Alaska,2018,48020,0.1073,74346.0,68.0,1193,0.0027,0.0001,,0.0106
Arizona,2018,37020,0.139,59246.0,1106.0,834,0.0014,0.0002,,0.0057
Arkansas,2018,31850,0.174,47062.0,208.0,666,0.0009,0.0001,,0.0168
California,2018,42430,0.1275,75277.0,2410.0,1287,0.0033,0.0001,,0.0124
Colorado,2018,42310,0.0975,71953.0,564.0,982,0.0019,0.0002,,0.0109
Connecticut,2018,46920,0.1035,76348.0,948.0,1231,0.0011,0.0003,,0.0232
Delaware,2018,39900,0.1179,64805.0,355.0,1033,0.0011,0.0004,,0.0135
Florida,2018,34560,0.1339,55462.0,3189.0,903,0.0015,0.0002,,0.0092
Georgia,2018,35950,0.1437,58756.0,866.0,762,0.0009,0.0001,,0.0129
Hawaii,2018,42480,0.0946,80212.0,59.0,1567,0.0046,0.0001,,0.0161
Idaho,2018,34260,0.1202,55583.0,120.0,748,0.0011,0.0001,,0.0072
Illinois,2018,39950,0.1194,65030.0,2169.0,767,0.0008,0.0002,,0.0178
Indiana,2018,35730,0.1312,55746.0,1104.0,760,0.0008,0.0002,,0.0139
Iowa,2018,37100,0.1123,59955.0,143.0,698,0.0009,0.0001,,0.0129
Kansas,2018,35950,0.1222,58218.0,156.0,737,0.0008,0.0001,,0.012
Kentucky,2018,34650,0.1674,50247.0,989.0,680,0.0008,0.0003,,0.0191
Louisiana,2018,33390,0.187,47905.0,444.0,783,0.0007,0.0002,,0.0202
Maine,2018,37120,0.1115,55602.0,282.0,825,0.0019,0.0003,,0.0198
Maryland,2018,44690,0.0883,83242.0,2087.0,1273,0.0012,0.0004,,0.0166
Massachusetts,2018,48680,0.1001,79835.0,1991.0,1352,0.0029,0.0003,,0.0285
Michigan,2018,37620,0.1399,56697.0,2011.0,763,0.0008,0.0003,,0.0146
Minnesota,2018,42630,0.0973,70315.0,343.0,786,0.0013,0.0001,,0.0161
Mississippi,2018,30580,0.2,44717.0,173.0,701,0.0005,0.0001,,0.0187
Missouri,2018,36040,0.1317,54478.0,1132.0,694,0.001,0.0003,,0.015
Montana,2018,35080,0.1211,55328.0,64.0,758,0.0013,0.0001,,0.0131
Nebraska,2018,37130,0.1149,59566.0,63.0,682,0.0013,0.0001,,0.0145
Nevada,2018,35550,0.1301,58646.0,372.0,877,0.0025,0.0002,,0.0077
New Hampshire,2018,39870,0.0724,74991.0,412.0,1064,0.0011,0.0003,,0.0157
New Jersey,2018,43600,0.094,81740.0,2583.0,1394,0.0011,0.0003,,0.0186
New Mexico,2018,34120,0.2006,47169.0,338.0,762,0.0012,0.0003,,0.0123
New York,2018,44990,0.1375,67844.0,2991.0,1018,0.0047,0.0002,,0.0303
North Carolina,2018,35750,0.1408,53855.0,1783.0,773,0.0009,0.0002,,0.0119
North Dakota,2018,41340,0.1015,63837.0,36.0,764,0.0007,0.0001,,0.0176
Ohio,2018,37360,0.1391,56111.0,3237.0,742,0.0009,0.0003,,0.0192
Oklahoma,2018,34560,0.1543,51924.0,308.0,736,0.001,0.0002,,0.0135
Oregon,2018,39580,0.1218,63426.0,339.0,878,0.0035,0.0001,,0.0126
Pennsylvania,2018,38450,0.1218,60905.0,2866.0,851,0.0011,0.0003,,0.0172
Rhode Island,2018,42040,0.1256,64340.0,267.0,1048,0.001,0.0003,,0.0359
South Carolina,2018,33750,0.1511,52306.0,835.0,771,0.0008,0.0002,,0.0123
South Dakota,2018,33450,0.1333,56274.0,28.0,693,0.0013,0.0001,,0.0157
Tennessee,2018,34890,0.1543,52375.0,1307.0,707,0.0012,0.0003,,0.0155
Texas,2018,37100,0.1481,60629.0,1402.0,803,0.0009,0.0001,,0.0097
Utah,2018,36790,0.0876,71414.0,437.0,819,0.0009,0.0002,,0.006
Vermont,2018,39720,0.1113,60782.0,127.0,1038,0.0021,0.0002,,0.0206
Virginia,2018,40820,0.1068,72577.0,1193.0,973,0.0007,0.0002,,0.0122
Washington,2018,46100,0.1045,74073.0,737.0,922,0.003,0.0002,,0.012
West Virginia,2018,32640,0.1773,44097.0,702.0,693,0.0007,0.0005,,0.019
Wisconsin,2018,37970,0.1077,60773.0,846.0,758,0.0008,0.0002,,0.0133
Wyoming,2018,40240,0.1114,61584.0,40.0,814,0.0011,0.0001,,0.01
Alabama,2019,34800,0.15446,51734.0,414.0,698,0.0007,0.0002,0.079,0.0188
Alaska,2019,48540,0.107,75463.0,83.0,1232,0.0026,0.0002,0.0925,0.0107
Arizona,2019,38410,0.13393,62055.0,1290.0,878,0.0014,0.0003,0.0557,0.0057
Arkansas,2019,32940,0.16511,48952.0,198.0,686,0.0009,0.0001,0.0747,0.0167
California,2019,44180,0.11799,80440.0,3235.0,1361,0.0038,0.0002,0.0306,0.0125
Colorado,2019,44250,0.09369,77127.0,633.0,1013,0.0017,0.0002,0.0398,0.0107
Connecticut,2019,48530,0.10181,78833.0,1100.0,1251,0.0009,0.0003,0.0415,0.0232
Delaware,2019,40900,0.10902,70176.0,387.0,1096,0.0009,0.0004,0.0693,0.0136
Florida,2019,35850,0.12712,59227.0,3771.0,947,0.0013,0.0002,0.0823,0.0092
Georgia,2019,36930,0.13421,61980.0,862.0,780,0.001,0.0001,0.0495,0.0127
Hawaii,2019,44400,0.09772,83102.0,55.0,1659,0.0045,0.0002,0.0601,0.0163
Idaho,2019,35360,0.11084,60999.0,133.0,751,0.0013,0.0001,0.0533,0.007
Illinois,2019,41060,0.11363,69187.0,2219.0,787,0.0008,0.0002,0.0412,0.018
Indiana,2019,36960,0.12154,57603.0,1254.0,764,0.0008,0.0003,0.048,0.0131
Iowa,2019,38280,0.11411,61691.0,161.0,715,0.0007,0.0001,0.0416,0.0128
Kansas,2019,37010,0.11498,62087.0,184.0,718,0.0008,0.0001,0.0515,0.0121
Kentucky,2019,35540,0.16085,52295.0,1036.0,689,0.0009,0.0003,0.0577,0.019
Louisiana,2019,34650,0.18747,51073.0,558.0,780,0.0006,0.0003,0.075,0.0201
Maine,2019,38370,0.1059,58924.0,323.0,887,0.0016,0.0003,0.1319,0.0198
Maryland,2019,45970,0.09062,86738.0,2104.0,1237,0.0011,0.0004,0.0403,0.0167
Massachusetts,2019,50200,0.09422,85843.0,1969.0,1519,0.0027,0.0003,0.0404,0.0284
Michigan,2019,38680,0.13094,59584.0,1789.0,768,0.0009,0.0002,0.0661,0.0146
Minnesota,2019,44110,0.0898,74593.0,428.0,803,0.0014,0.0001,0.0452,0.0158
Mississippi,2019,31210,0.19557,45792.0,245.0,692,0.0004,0.0001,0.0802,0.0186
Missouri,2019,37180,0.12568,57409.0,1096.0,706,0.001,0.0003,0.0588,0.015
Montana,2019,36420,0.13109,57153.0,70.0,749,0.0013,0.0001,0.077,0.0129
Nebraska,2019,38390,0.10273,63229.0,68.0,738,0.0012,0.0001,0.0412,0.0143
Nevada,2019,36410,0.13034,63276.0,373.0,883,0.0023,0.0002,0.0461,0.0075
New Hampshire,2019,41490,0.07471,77933.0,365.0,1097,0.001,0.0003,0.0742,0.0159
New Jersey,2019,45000,0.09176,85751.0,2502.0,1432,0.001,0.0003,0.04,0.0189
New Mexico,2019,35420,0.17747,51945.0,394.0,807,0.0015,0.0003,0.0739,0.0124
New York,2019,46680,0.12892,72108.0,2939.0,1044,0.0047,0.0002,0.0492,0.0305
North Carolina,2019,36910,0.13518,57341.0,1817.0,784,0.0009,0.0002,0.0669,0.0121
North Dakota,2019,42510,0.10964,64577.0,43.0,779,0.0007,0.0001,0.0741,0.0175
Ohio,2019,38560,0.13006,58642.0,3452.0,746,0.0009,0.0004,0.043,0.0192
Oklahoma,2019,35730,0.15469,54449.0,268.0,733,0.001,0.0002,0.0643,0.0134
Oregon,2019,41250,0.11514,67058.0,332.0,935,0.0038,0.0001,0.0377,0.0128
Pennsylvania,2019,39490,0.12132,63463.0,3034.0,852,0.001,0.0003,0.0479,0.0173
Rhode Island,2019,44170,0.10736,71169.0,240.0,1093,0.001,0.0003,0.0595,0.0362
South Carolina,2019,34690,0.13776,56227.0,862.0,806,0.0008,0.0002,0.0729,0.0122
South Dakota,2019,34750,0.1102,59533.0,39.0,735,0.0011,0.0001,0.0542,0.0156
Tennessee,2019,35910,0.13884,56071.0,1543.0,729,0.0011,0.0003,0.0547,0.0154
Texas,2019,38010,0.13603,64034.0,1497.0,822,0.0009,0.0001,0.0448,0.0097
Utah,2019,37910,0.09413,75780.0,397.0,815,0.0009,0.0002,0.0342,0.0059
Vermont,2019,40920,0.10159,63001.0,114.0,1024,0.0017,0.0002,0.1228,0.02
Virginia,2019,42220,0.09864,76456.0,1266.0,975,0.0007,0.0002,0.0434,0.0122
Washington,2019,48140,0.09706,78687.0,827.0,1000,0.0028,0.0002,0.0345,0.0118
West Virginia,2019,33920,0.15767,48850.0,673.0,688,0.0008,0.0005,0.0931,0.019
Wisconsin,2019,39090,0.09721,64168.0,928.0,774,0.0008,0.0002,0.0581,0.0133
Wyoming,2019,41650,0.09947,65003.0,47.0,825,0.0009,0.0001,0.0815,0.0099
Alabama,2020,36250,,,611.0,701,0.0007,0.0002,,0.0184
Alaska,2020,50860,,,112.0,1292,0.0027,0.0002,,0.0107
Arizona,2020,40260,,,1884.0,917,0.0015,0.0004,,0.0057
Arkansas,2020,34330,,,284.0,672,0.0008,0.0002,,0.0169
California,2020,47290,,,5508.0,1446,0.0041,0.0002,,0.0126
Colorado,2020,46850,,,978.0,1008,0.0017,0.0003,,0.0108
Connecticut,2020,51090,,,1250.0,1294,0.0008,0.0004,,0.0231
Delaware,2020,43090,,,407.0,1073,0.0012,0.0004,,0.0132
Florida,2020,37580,,,5470.0,992,0.0013,0.0003,,0.0092
Georgia,2020,38660,,,1305.0,788,0.001,0.0002,,0.0126
Hawaii,2020,46680,,,74.0,1798,0.0044,0.0002,,0.016
Idaho,2020,37010,,,160.0,793,0.0013,0.0002,,0.0068
Illinois,2020,43700,,,2948.0,787,0.0008,0.0003,,0.0179
Indiana,2020,38600,,,1877.0,782,0.0008,0.0003,,0.0131
Iowa,2020,39920,,,224.0,729,0.0008,0.0001,,0.0128
Kansas,2020,38670,,,262.0,752,0.0008,0.0002,,0.012
Kentucky,2020,37230,,,1688.0,699,0.0009,0.0005,,0.0189
Louisiana,2020,36460,,,945.0,820,0.0007,0.0004,,0.0203
Maine,2020,40460,,,420.0,849,0.0015,0.0004,,0.0198
Maryland,2020,48740,,,2504.0,1243,0.001,0.0004,,0.0165
Massachusetts,2020,53550,,,2065.0,1588,0.0026,0.0003,,0.028
Michigan,2020,40920,,,2190.0,773,0.0009,0.0003,,0.0145
Minnesota,2020,46610,,,678.0,823,0.0014,0.0002,,0.0159
Mississippi,2020,32710,,,405.0,703,0.0004,0.0002,,0.0189
Missouri,2020,38890,,,1377.0,700,0.0011,0.0003,,0.0151
Montana,2020,37860,,,86.0,809,0.0014,0.0001,,0.0128
Nebraska,2020,39850,,,101.0,724,0.0012,0.0001,,0.0142
Nevada,2020,38580,,,559.0,905,0.0022,0.0003,,0.0075
New Hampshire,2020,44130,,,341.0,1089,0.0012,0.0003,,0.0159
New Jersey,2020,48130,,,2538.0,1467,0.001,0.0003,,0.0182
New Mexico,2020,37380,,,535.0,802,0.0016,0.0004,,0.0123
New York,2020,49580,,,4233.0,1076,0.0045,0.0002,,0.0296
North Carolina,2020,38740,,,2634.0,799,0.0009,0.0003,,0.0123
North Dakota,2020,44220,,,71.0,766,0.0007,0.0001,,0.0178
Ohio,2020,40300,,,4385.0,761,0.0009,0.0004,,0.0191
Oklahoma,2020,37110,,,320.0,728,0.001,0.0002,,0.0131
Oregon,2020,43760,,,499.0,1022,0.0035,0.0002,,0.0129
Pennsylvania,2020,41760,,,3907.0,850,0.001,0.0004,,0.0171
Rhode Island,2020,47360,,,331.0,1108,0.001,0.0004,,0.0349
South Carolina,2020,36100,,,1409.0,788,0.0008,0.0003,,0.0124
South Dakota,2020,36820,,,46.0,749,0.0012,0.0001,,0.0156
Tennessee,2020,37440,,,2412.0,757,0.001,0.0004,,0.0151
Texas,2020,39640,,,2124.0,829,0.0009,0.0001,,0.0097
Utah,2020,39480,,,447.0,850,0.001,0.0002,,0.0059
Vermont,2020,43270,,,157.0,1050,0.0017,0.0003,,0.0194
Virginia,2020,45210,,,1897.0,992,0.0007,0.0003,,0.0123
Washington,2020,51600,,,1195.0,1069,0.003,0.0002,,0.0119
West Virginia,2020,35500,,,1129.0,726,0.0007,0.0007,,0.019
Wisconsin,2020,41150,,,1251.0,800,0.0008,0.0003,,0.0132
Wyoming,2020,43030,,,60.0,846,0.0011,0.0002,,0.01
Alabama,2021,37250,0.159832,53913.0,981.0,1215,0.0005,0.0003,0.0685,0.0185
Alaska,2021,48820,0.110036,77845.0,201.0,1292,0.0027,0.0004,0.077,0.0107
Arizona,2021,39500,0.128714,69056.0,2000.0,726,0.0008,0.0004,0.0441,0.0057
Arkansas,2021,36680,0.164007,52528.0,386.0,701,0.0007,0.0002,0.0651,0.0171
California,2021,47920,0.123202,84907.0,7181.0,672,0.0015,0.0003,0.0277,0.0128
Colorado,2021,47940,0.098586,82254.0,1289.0,697,0.0015,0.0003,0.0392,0.0109
Connecticut,2021,48720,0.100926,83771.0,1393.0,917,0.0007,0.0004,0.0299,0.0231
Delaware,2021,46700,0.112325,71091.0,450.0,970,0.0016,0.0005,0.062,0.013
Florida,2021,37920,0.131483,63062.0,5940.0,1446,0.001,0.0004,0.0682,0.0092
Georgia,2021,38340,0.140937,66559.0,1799.0,1526,0.0005,0.0002,0.0439,0.0125
Hawaii,2021,47700,0.112643,84857.0,91.0,1008,0.0017,0.0002,0.0517,0.0161
Idaho,2021,37550,0.111748,66474.0,236.0,1294,0.001,0.0002,0.0428,0.0067
Illinois,2021,46630,0.119864,72205.0,3050.0,1348,0.0006,0.0003,0.0353,0.0181
Indiana,2021,38330,0.120672,62743.0,2206.0,1073,0.0007,0.0004,0.0395,0.013
Iowa,2021,39070,0.111155,65600.0,259.0,1088,0.0008,0.0001,0.0393,0.0128
Kansas,2021,38050,0.119893,64124.0,435.0,1097,0.0006,0.0002,0.0427,0.012
Kentucky,2021,37660,0.165255,55573.0,1897.0,992,0.0006,0.0005,0.0494,0.0188
Louisiana,2021,37320,0.195687,52087.0,1335.0,1021,0.0005,0.0005,0.0669,0.0206
Maine,2021,42950,0.121606,64767.0,547.0,1798,0.0015,0.0004,0.1095,0.0197
Maryland,2021,48460,0.102017,90203.0,2460.0,793,0.0007,0.0004,0.0309,0.0165
Massachusetts,2021,58540,0.104424,89645.0,2267.0,788,0.0022,0.0004,0.037,0.0281
Michigan,2021,45190,0.132697,63498.0,2536.0,1798,0.0007,0.0003,0.0536,0.0145
Minnesota,2021,47590,0.088917,77720.0,978.0,729,0.0012,0.0002,0.0413,0.016
Mississippi,2021,35070,0.194137,48716.0,556.0,793,0.0002,0.0003,0.0687,0.0192
Missouri,2021,38130,0.127281,61847.0,1582.0,760,0.0008,0.0003,0.0549,0.015
Montana,2021,38050,0.113251,63249.0,114.0,821,0.0016,0.0002,0.0659,0.0126
Nebraska,2021,38780,0.10245,66817.0,113.0,782,0.001,0.0001,0.0348,0.0143
Nevada,2021,37900,0.140711,66274.0,605.0,699,0.0023,0.0003,0.0363,0.0076
New Hampshire,2021,46960,0.070146,88465.0,382.0,801,0.0011,0.0003,0.0691,0.016
New Jersey,2021,48200,0.103224,89296.0,2672.0,752,0.0009,0.0003,0.0304,0.0183
New Mexico,2021,37810,0.187038,53992.0,750.0,757,0.0013,0.0005,0.0539,0.0123
New York,2021,48800,0.139044,74314.0,4946.0,733,0.004,0.0003,0.0442,0.0298
North Carolina,2021,38370,0.136689,61972.0,3339.0,787,0.0007,0.0004,0.0589,0.0121
North Dakota,2021,46960,0.098245,66519.0,74.0,802,0.0007,0.0002,0.0667,0.0183
Ohio,2021,39680,0.133138,62262.0,4456.0,820,0.0007,0.0005,0.0371,0.0192
Oklahoma,2021,37500,0.155256,55826.0,468.0,844,0.0007,0.0002,0.0536,0.0131
Oregon,2021,46910,0.124961,71562.0,779.0,1588,0.0021,0.0003,0.0316,0.0132
Pennsylvania,2021,44900,0.121487,68957.0,4081.0,1642,0.0008,0.0004,0.0416,0.0171
Rhode Island,2021,47780,0.115251,74008.0,385.0,1243,0.0012,0.0004,0.0408,0.035
South Carolina,2021,37250,0.14854,59318.0,1712.0,1256,0.0006,0.0004,0.0666,0.0124
South Dakota,2021,37710,0.125248,66143.0,46.0,849,0.0009,0.0001,0.0489,0.0155
Tennessee,2021,37700,0.137222,59695.0,3038.0,909,0.001,0.0005,0.0456,0.0152
Texas,2021,39030,0.142981,66963.0,2770.0,773,0.0006,0.0002,0.0362,0.0096
Utah,2021,38860,0.081523,79449.0,446.0,815,0.0011,0.0002,0.0265,0.0059
Vermont,2021,46910,0.103915,72431.0,218.0,842,0.004,0.0004,0.1029,0.0204
Virginia,2021,47200,0.103417,80963.0,2230.0,823,0.0007,0.0003,0.0371,0.0123
Washington,2021,50450,0.102342,84247.0,1623.0,700,0.0015,0.0003,0.0303,0.0121
West Virginia,2021,36860,0.16835,51248.0,1253.0,703,0.0006,0.0008,0.0763,0.0191
Wisconsin,2021,45000,0.108908,67125.0,1437.0,728,0.0007,0.0003,0.0507,0.0133
Wyoming,2021,45890,0.113878,65204.0,71.0,727,0.0007,0.0002,0.0545,0.0099
Alabama,2022,38470,0.16481,59674.0,1097.0,831,0.0007,0.0003,0.0637,0.0185
Alaska,2022,52000,0.114401,88121.0,188.0,809,0.0032,0.0003,0.0743,0.0107
Arizona,2022,45290,0.125638,74568.0,1930.0,825,0.0018,0.0004,0.0456,0.0056
Arkansas,2022,37270,0.167535,55432.0,388.0,799,0.0008,0.0002,0.0589,0.0172
California,2022,49740,0.120619,91551.0,7347.0,766,0.0044,0.0003,0.0275,0.0129
Colorado,2022,50250,0.092336,89302.0,1177.0,724,0.0018,0.0003,0.0351,0.0108
Connecticut,2022,51780,0.099028,88429.0,1349.0,759,0.0008,0.0004,0.0295,0.0232
Delaware,2022,47150,0.086605,82174.0,490.0,1089,0.0023,0.0005,0.0622,0.013
Florida,2022,40820,0.127404,69303.0,5581.0,1142,0.0012,0.0003,0.064,0.0091
Georgia,2022,42890,0.126379,72837.0,1983.0,1467,0.001,0.0002,0.0409,0.0125
Hawaii,2022,48560,0.106055,92458.0,103.0,1552,0.0041,0.0002,0.0508,0.0159
Idaho,2022,40060,0.101519,72785.0,270.0,842,0.001,0.0002,0.0411,0.0066
Illinois,2022,47480,0.119886,76708.0,3189.0,905,0.0007,0.0003,0.0314,0.0182
Indiana,2022,42100,0.124155,66785.0,2072.0,915,0.0008,0.0004,0.0366,0.013
Iowa,2022,44350,0.110026,69588.0,236.0,802,0.0008,0.0001,0.0336,0.0129
Kansas,2022,41870,0.122586,68925.0,506.0,1076,0.0008,0.0003,0.0399,0.0121
Kentucky,2022,40180,0.16854,59341.0,1767.0,1120,0.0009,0.0005,0.0431,0.0187
Louisiana,2022,38970,0.185098,55416.0,1367.0,761,0.0016,0.0005,0.0645,0.0206
Maine,2022,45420,0.103023,69543.0,619.0,850,0.0032,0.0005,0.1052,0.0195
Maryland,2022,51420,0.095929,94991.0,2247.0,1022,0.0009,0.0004,0.0296,0.0165
Massachusetts,2022,58450,0.104182,94488.0,2326.0,728,0.0022,0.0004,0.034,0.0281
Michigan,2022,45500,0.133425,66986.0,2418.0,1108,0.0008,0.0003,0.0513,0.0145
Minnesota,2022,48760,0.095908,82338.0,1031.0,788,0.0014,0.0002,0.0394,0.0162
Mississippi,2022,36100,0.190706,52719.0,543.0,757,0.0004,0.0003,0.0661,0.0193
Missouri,2022,42310,0.12842,64811.0,1586.0,749,0.001,0.0004,0.0493,0.0151
Montana,2022,42210,0.124916,67631.0,130.0,829,0.0014,0.0002,0.058,0.0126
Nebraska,2022,44100,0.104752,69597.0,122.0,1050,0.0011,0.0001,0.0308,0.0144
Nevada,2022,40810,0.125622,72333.0,639.0,846,0.0024,0.0003,0.0411,0.0076
New Hampshire,2022,47920,0.067919,89992.0,431.0,1069,0.0011,0.0003,0.0654,0.0159
New Jersey,2022,51080,0.097403,96346.0,2637.0,800,0.0009,0.0003,0.0288,0.0183
New Mexico,2022,39900,0.178356,59726.0,733.0,726,0.0012,0.0005,0.0513,0.0124
New York,2022,52470,0.141654,79557.0,5361.0,1252,0.0038,0.0003,0.0412,0.0302
North Carolina,2022,41810,0.129921,67481.0,3639.0,850,0.0009,0.0004,0.0554,0.012
North Dakota,2022,47410,0.110894,71970.0,97.0,992,0.0008,0.0002,0.0592,0.0181
Ohio,2022,44750,0.133881,65720.0,4230.0,774,0.0009,0.0004,0.0352,0.0193
Oklahoma,2022,39100,0.155669,59673.0,761.0,698,0.0009,0.0003,0.0506,0.0134
Oregon,2022,47770,0.118716,75657.0,968.0,1040,0.0042,0.0003,0.0313,0.0133
Pennsylvania,2022,45790,0.119027,71798.0,3960.0,1533,0.001,0.0004,0.0401,0.0171
Rhode Island,2022,49360,0.108265,81854.0,333.0,1201,0.0014,0.0004,0.0358,0.0351
South Carolina,2022,38870,0.140512,64115.0,1831.0,1366,0.0007,0.0004,0.0587,0.0121
South Dakota,2022,39870,0.112493,69728.0,46.0,1088,0.0015,0.0001,0.0436,0.0154
Tennessee,2022,39930,0.134298,65254.0,3062.0,1074,0.0015,0.0005,0.0422,0.015
